league,season,team,player,standard_nation,standard_pos,age,standard_born,standard_Playing Time_MP,standard_Playing Time_Starts,standard_Playing Time_Min,standard_Playing Time_90s,standard_Performance_Gls,standard_Performance_Ast,standard_Performance_G+A,standard_Performance_G-PK,standard_Performance_PK,standard_Performance_PKatt,standard_Performance_CrdY,standard_Performance_CrdR,standard_Per 90 Minutes_Gls,standard_Per 90 Minutes_Ast,standard_Per 90 Minutes_G+A,standard_Per 90 Minutes_G-PK,standard_Per 90 Minutes_G+A-PK,shooting_nation,shooting_pos,shooting_born,shooting_90s,shooting_Standard_Gls,shooting_Standard_Sh,shooting_Standard_SoT,shooting_Standard_SoT%,shooting_Standard_Sh/90,shooting_Standard_SoT/90,shooting_Standard_G/Sh,shooting_Standard_G/SoT,shooting_Standard_PK,shooting_Standard_PKatt,keeper_nation,keeper_pos,keeper_born,keeper_Playing Time_MP,keeper_Playing Time_Starts,keeper_Playing Time_Min,keeper_Playing Time_90s,keeper_Performance_GA,keeper_Performance_GA90,keeper_Performance_SoTA,keeper_Performance_Saves,keeper_Performance_Save%,keeper_Performance_W,keeper_Performance_D,keeper_Performance_L,keeper_Performance_CS,keeper_Performance_CS%,keeper_Penalty Kicks_PKatt,keeper_Penalty Kicks_PKA,keeper_Penalty Kicks_PKsv,keeper_Penalty Kicks_PKm,keeper_Penalty Kicks_Save%,playing_time_nation,playing_time_pos,playing_time_born,playing_time_Playing Time_MP,playing_time_Playing Time_Min,playing_time_Playing Time_Mn/MP,playing_time_Playing Time_Min%,playing_time_Playing Time_90s,playing_time_Starts_Starts,playing_time_Starts_Mn/Start,playing_time_Starts_Compl,playing_time_Subs_Subs,playing_time_Subs_Mn/Sub,playing_time_Subs_unSub,playing_time_Team Success_PPM,playing_time_Team Success_onG,playing_time_Team Success_onGA,playing_time_Team Success_+/-,playing_time_Team Success_+/-90,playing_time_Team Success_On-Off,misc_nation,misc_pos,misc_born,misc_90s,misc_Performance_CrdY,misc_Performance_CrdR,misc_Performance_2CrdY,misc_Performance_Fls,misc_Performance_Fld,misc_Performance_Off,misc_Performance_Crs,misc_Performance_Int,misc_Performance_TklW,misc_Performance_PKwon,misc_Performance_PKcon,misc_Performance_OG,market_value_eur
ARG-Primera División Argentina,2026,Platense,Mauro Luna Diale,ARG,"FW,MF",27-052,1999,1,0,12,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,ARG,"FW,MF",1999,0.1,0,0,0,,0.0,0.0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,ARG,"FW,MF",1999,1,12,12,0.8,0.1,0,,0,1,12,3,1.0,0,0,0,0.0,0.32,ARG,"FW,MF",1999,0.1,0,0,0,0,0,0,0,0,0,,,0,450000.0
ARG-Primera División Argentina,2026,Deportivo Riestra,Mariano Bracamonte,ARG,"DF,MF",27-054,1999,5,5,411,4.6,1,0,1,1,0,0,2,0,0.22,0.0,0.22,0.22,0.22,ARG,"DF,MF",1999,4.6,1,9,4,44.4,1.97,0.88,0.11,0.25,0,0,,,,,,,,,,,,,,,,,,,,,,,ARG,"DF,MF",1999,5,411,82,28.5,4.6,5,82,3,0,,4,1.0,3,3,0,0.0,0.61,ARG,"DF,MF",1999,4.6,2,0,0,7,6,0,9,3,6,,,0,100000.0
ARG-Primera División Argentina,2026,Estudiantes–LP,Eros Mancuso,ARG,DF,27-061,1999,14,6,729,8.1,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,ARG,DF,1999,8.1,0,5,2,40.0,0.62,0.25,0.0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,ARG,DF,1999,14,729,52,50.6,8.1,6,88,5,8,25,2,1.8,12,3,9,1.11,0.73,ARG,DF,1999,8.1,4,0,0,9,11,3,15,6,12,,,0,3000000.0
ARG-Primera División Argentina,2026,Aldosivi,Nicolás Cordero,ARG,"FW,MF",27-067,1999,12,9,820,9.1,1,0,1,1,0,0,0,0,0.11,0.0,0.11,0.11,0.11,ARG,"FW,MF",1999,9.1,1,20,5,25.0,2.2,0.55,0.05,0.2,0,0,,,,,,,,,,,,,,,,,,,,,,,ARG,"FW,MF",1999,12,820,68,56.9,9.1,9,84,5,3,22,4,0.42,5,13,-8,-0.88,-0.15,ARG,"FW,MF",1999,9.1,0,0,0,17,8,6,4,3,5,,,0,
ARG-Primera División Argentina,2026,Estudiantes–LP,Eric Meza,ARG,DF,27-070,1999,12,12,879,9.8,0,0,0,0,0,0,5,0,0.0,0.0,0.0,0.0,0.0,ARG,DF,1999,9.8,0,14,5,35.7,1.43,0.51,0.0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,ARG,DF,1999,12,879,73,61.0,9.8,12,73,4,0,,2,2.0,12,5,7,0.72,-0.09,ARG,DF,1999,9.8,5,0,0,15,9,0,35,8,18,,,0,2500000.0
ARG-Primera División Argentina,2026,Newell's,Oscar Salomón,ARG,DF,27-087,1999,8,7,511,5.7,2,0,2,2,0,0,2,0,0.35,0.0,0.35,0.35,0.35,ARG,DF,1999,5.7,2,8,5,62.5,1.41,0.88,0.25,0.4,0,0,,,,,,,,,,,,,,,,,,,,,,,ARG,DF,1999,8,511,64,35.5,5.7,7,72,5,1,10,3,1.13,7,10,-3,-0.53,0.34,ARG,DF,1999,5.7,2,0,0,6,7,0,2,8,6,,,0,1500000.0
ARG-Primera División Argentina,2026,Ind. Rivadavia,Leonel Bucca,ARG,MF,27-089,1999,6,3,247,2.7,4,0,4,4,0,0,0,0,1.46,0.0,1.46,1.46,1.46,ARG,MF,1999,2.7,4,7,4,57.1,2.55,1.46,0.57,1.0,0,0,,,,,,,,,,,,,,,,,,,,,,,ARG,MF,1999,6,247,41,17.2,2.7,3,67,0,3,15,10,2.33,6,2,4,1.46,0.7,ARG,MF,1999,2.7,0,0,0,2,4,0,2,1,4,,,0,700000.0
ARG-Primera División Argentina,2026,Racing Club,Nazareno Colombo,ARG,DF,27-089,1999,8,5,418,4.6,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,ARG,DF,1999,4.6,0,5,0,0.0,1.08,0.0,0.0,,0,0,,,,,,,,,,,,,,,,,,,,,,,ARG,DF,1999,8,418,52,29.0,4.6,5,75,1,3,15,6,1.22,6,6,0,0.0,-0.18,ARG,DF,1999,4.6,1,0,0,6,8,0,3,5,3,,,0,2800000.0
ARG-Primera División Argentina,2026,Arg Juniors,Franco Paredes,,,27-091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ARG,DF,1999,0,,,,,0,,0,0,,10,,,,,,,,,,,,,,,,,,,,,,,350000.0
ARG-Primera División Argentina,2026,Barracas Central,Gonzalo Maroni,ARG,"MF,FW",27-091,1999,10,3,419,4.7,1,0,1,1,0,0,2,0,0.21,0.0,0.21,0.21,0.21,ARG,"MF,FW",1999,4.7,1,6,4,66.7,1.29,0.86,0.17,0.25,0,0,,,,,,,,,,,,,,,,,,,,,,,ARG,"MF,FW",1999,10,419,42,29.1,4.7,3,55,0,7,36,5,1.2,7,4,3,0.64,0.91,ARG,"MF,FW",1999,4.7,2,0,0,12,8,0,4,3,6,,,0,2000000.0
ARG-Primera División Argentina,2026,Arg Juniors,Gabriel Florentín,ARG,MF,27-096,1999,3,0,59,0.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,ARG,MF,1999,0.7,0,0,0,,0.0,0.0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,ARG,MF,1999,3,59,20,4.1,0.7,0,,0,3,20,1,0.75,1,0,1,1.53,1.33,ARG,MF,1999,0.7,1,0,0,2,0,1,6,0,1,,,0,500000.0
ARG-Primera División Argentina,2026,Lanús,Matías Sepúlveda,CHI,MF,27-097,1999,12,5,442,4.9,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,CHI,MF,1999,4.9,0,10,1,10.0,2.04,0.2,0.0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,CHI,MF,1999,12,442,37,30.7,4.9,5,66,0,7,16,1,1.08,3,4,-1,-0.2,-0.56,CHI,MF,1999,4.9,3,0,0,6,11,0,31,4,4,,,0,1200000.0
ARG-Primera División Argentina,2026,Rosario Central,Maximiliano Lovera,,,27-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ARG,"FW,MF",1999,0,,,,,0,,0,0,,4,,,,,,,,,,,,,,,,,,,,,,,
ARG-Primera División Argentina,2026,Estudiantes–RC,Francisco Romero,ARG,MF,27-101,1999,10,8,720,8.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,ARG,MF,1999,8.0,0,3,0,0.0,0.37,0.0,0.0,,0,0,,,,,,,,,,,,,,,,,,,,,,,ARG,MF,1999,10,720,72,50.0,8.0,8,84,5,2,24,4,0.3,2,13,-11,-1.37,-0.37,ARG,MF,1999,8.0,1,0,0,5,4,0,31,14,7,,,0,
ARG-Primera División Argentina,2026,Estudiantes–RC,Juan Antonini,ARG,DF,27-105,1999,11,10,895,9.9,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,ARG,DF,1999,9.9,0,7,1,14.3,0.7,0.1,0.0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,ARG,DF,1999,11,895,81,62.2,9.9,10,87,7,1,27,4,0.36,5,15,-10,-1.01,0.48,ARG,DF,1999,9.9,0,1,0,5,2,0,11,21,11,,,1,
ARG-Primera División Argentina,2026,C. Córdoba–SdE,Facundo Mansilla,ARG,DF,27-110,1999,13,13,1113,12.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,ARG,DF,1999,12.4,0,3,1,33.3,0.24,0.08,0.0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,ARG,DF,1999,13,1113,86,77.3,12.4,13,86,11,0,,3,0.92,5,12,-7,-0.57,0.26,ARG,DF,1999,12.4,1,0,0,17,8,1,2,33,15,,,0,350000.0
ARG-Primera División Argentina,2026,Atlé Tucumán,Durso,,,27-111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ARG,GK,1999,0,,,,,0,,0,0,,16,,,,,,,,,,,,,,,,,,,,,,,
ARG-Primera División Argentina,2026,Estudiantes–LP,Adolfo Gaich,ARG,FW,27-111,1999,9,3,331,3.7,3,1,4,3,0,0,1,0,0.82,0.27,1.09,0.82,1.09,ARG,FW,1999,3.7,3,13,5,38.5,3.53,1.36,0.23,0.6,0,0,,,,,,,,,,,,,,,,,,,,,,,ARG,FW,1999,9,331,37,23.0,3.7,3,74,0,6,18,5,1.7,7,1,6,1.63,1.14,ARG,FW,1999,3.7,1,0,0,10,4,0,0,0,3,,,0,1000000.0
ARG-Primera División Argentina,2026,Lanús,Rodrigo Castillo,ARG,FW,27-111,1999,5,4,358,4.0,1,3,4,1,0,0,0,0,0.25,0.75,1.01,0.25,1.01,ARG,FW,1999,4.0,1,7,4,57.1,1.76,1.01,0.14,0.25,0,0,,,,,,,,,,,,,,,,,,,,,,,ARG,FW,1999,5,358,72,24.9,4.0,4,84,3,1,21,0,1.8,8,6,2,0.5,0.42,ARG,FW,1999,4.0,0,0,0,8,11,3,2,5,2,,,0,250000.0
ARG-Primera División Argentina,2026,Boca Juniors,Lautaro Blanco,ARG,DF,27-118,1999,13,12,1091,12.1,1,0,1,1,0,0,0,0,0.08,0.0,0.08,0.08,0.08,ARG,DF,1999,12.1,1,6,2,33.3,0.49,0.16,0.17,0.5,0,0,,,,,,,,,,,,,,,,,,,,,,,ARG,DF,1999,13,1091,84,75.8,12.1,12,90,12,1,11,3,1.64,14,7,7,0.58,-0.97,ARG,DF,1999,12.1,0,0,0,6,3,1,95,10,33,,,0,4000000.0
ARG-Primera División Argentina,2026,Defensa,Elías Pereyra,ARG,"MF,DF",27-122,1999,11,6,558,6.2,2,0,2,2,0,0,0,0,0.32,0.0,0.32,0.32,0.32,ARG,"MF,DF",1999,6.2,2,7,4,57.1,1.13,0.65,0.29,0.5,0,0,,,,,,,,,,,,,,,,,,,,,,,ARG,"MF,DF",1999,11,558,51,38.8,6.2,6,67,0,5,31,5,1.27,6,9,-3,-0.48,-0.48,ARG,"MF,DF",1999,6.2,0,0,0,3,8,0,16,5,6,,,0,400000.0
ARG-Primera División Argentina,2026,Estudiantes–RC,Agustín Morales,ARG,FW,27-123,1999,1,0,14,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,ARG,FW,1999,0.2,0,0,0,,0.0,0.0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,ARG,FW,1999,1,14,14,1.0,0.2,0,,0,1,14,11,0.0,0,1,-1,-6.43,-5.29,ARG,FW,1999,0.2,0,0,0,0,0,0,1,0,0,,,0,
ARG-Primera División Argentina,2026,Defensa,Juan Miritello,ARG,FW,27-129,1999,6,5,389,4.3,2,0,2,2,0,0,0,0,0.46,0.0,0.46,0.46,0.46,ARG,FW,1999,4.3,2,5,2,40.0,1.16,0.46,0.4,1.0,0,0,,,,,,,,,,,,,,,,,,,,,,,ARG,FW,1999,6,389,65,27.0,4.3,5,68,0,1,47,1,1.67,5,1,4,0.93,1.52,ARG,FW,1999,4.3,0,0,0,4,3,4,0,0,1,,,0,
ARG-Primera División Argentina,2026,Platense,Kevin Retamar,ARG,MF,27-131,1999,12,6,549,6.1,1,2,3,1,0,0,0,0,0.16,0.33,0.49,0.16,0.49,ARG,MF,1999,6.1,1,14,4,28.6,2.3,0.66,0.07,0.25,0,0,,,,,,,,,,,,,,,,,,,,,,,ARG,MF,1999,12,549,46,38.1,6.1,6,77,0,6,15,0,0.75,5,10,-5,-0.82,-0.82,ARG,MF,1999,6.1,0,0,0,6,3,1,26,6,5,,,0,
ARG-Primera División Argentina,2026,Unión,Julián Palacios,ARG,MF,27-133,1999,15,15,1165,12.9,3,5,8,3,0,0,4,0,0.23,0.39,0.62,0.23,0.62,ARG,MF,1999,12.9,3,30,8,26.7,2.32,0.62,0.1,0.38,0,0,,,,,,,,,,,,,,,,,,,,,,,ARG,MF,1999,15,1165,78,80.9,12.9,15,78,2,0,,0,1.41,20,15,5,0.39,0.71,ARG,MF,1999,12.9,4,0,0,20,28,2,58,7,12,,,0,2500000.0
ARG-Primera División Argentina,2026,CA San Lorenzo,Manuel Insaurralde,ARG,MF,27-137,1999,7,6,483,5.4,1,0,1,1,0,0,1,0,0.19,0.0,0.19,0.19,0.19,ARG,MF,1999,5.4,1,3,2,66.7,0.56,0.37,0.33,0.5,0,0,,,,,,,,,,,,,,,,,,,,,,,ARG,MF,1999,7,483,69,33.5,5.4,6,79,3,1,7,4,1.5,4,2,2,0.37,0.56,ARG,MF,1999,5.4,1,0,0,6,8,0,2,8,7,,,0,1000000.0
ARG-Primera División Argentina,2026,Ind. Rivadavia,Gonzalo Ríos,ARG,MF,27-141,1999,15,10,813,9.0,1,2,3,1,0,0,1,0,0.11,0.22,0.33,0.11,0.33,ARG,MF,1999,9.0,1,11,5,45.5,1.22,0.55,0.09,0.2,0,0,,,,,,,,,,,,,,,,,,,,,,,ARG,MF,1999,15,813,54,56.5,9.0,10,71,1,5,20,1,1.94,16,11,5,0.55,-0.74,ARG,MF,1999,9.0,1,0,0,11,15,0,33,5,7,,,0,2000000.0
ARG-Primera División Argentina,2026,Platense,Martín Barrios,URU,MF,27-144,1999,7,3,297,3.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,URU,MF,1999,3.3,0,4,0,0.0,1.21,0.0,0.0,,0,0,,,,,,,,,,,,,,,,,,,,,,,URU,MF,1999,7,297,42,20.6,3.3,3,64,0,4,27,8,1.71,2,2,0,0.0,0.39,URU,MF,1999,3.3,1,0,0,8,0,0,2,4,2,,,0,300000.0
ARG-Primera División Argentina,2026,Estudiantes–RC,Renzo Bacchia,URU,GK,27-145,1999,5,5,450,5.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,URU,GK,1999,5.0,0,0,0,,0.0,0.0,,,0,0,URU,GK,1999,5,5,450,5.0,9,1.8,21,13,61.9,0,1,4,1,20.0,2,1,0,1,0.0,URU,GK,1999,5,450,90,31.3,5.0,5,90,5,0,,8,0.2,1,9,-8,-1.6,-0.6,URU,GK,1999,5.0,1,0,0,1,0,0,0,0,0,,,0,
ARG-Primera División Argentina,2026,Banfield,Mauro Méndez,URU,FW,27-151,1999,16,16,1372,15.2,6,3,9,6,0,0,3,0,0.39,0.2,0.59,0.39,0.59,URU,FW,1999,15.2,6,31,12,38.7,2.03,0.79,0.19,0.5,0,0,,,,,,,,,,,,,,,,,,,,,,,URU,FW,1999,16,1372,86,95.3,15.2,16,86,9,0,,0,1.13,16,17,-1,-0.07,1.26,URU,FW,1999,15.2,3,0,0,20,28,11,2,0,3,,,0,2500000.0
ARG-Primera División Argentina,2026,Instituto,Nicolás Guerra,CHI,"FW,MF",27-159,1999,13,5,461,5.1,1,0,1,1,0,0,4,0,0.2,0.0,0.2,0.2,0.2,CHI,"FW,MF",1999,5.1,1,13,3,23.1,2.54,0.59,0.08,0.33,0,0,,,,,,,,,,,,,,,,,,,,,,,CHI,"FW,MF",1999,13,461,35,32.0,5.1,5,60,0,8,20,2,1.46,5,4,1,0.2,0.29,CHI,"FW,MF",1999,5.1,4,0,0,18,7,1,2,2,2,,,0,400000.0
ARG-Primera División Argentina,2026,Independiente,Facundo Zabala,ARG,DF,27-166,1999,14,13,1137,12.6,0,1,1,0,0,0,5,0,0.0,0.08,0.08,0.0,0.08,ARG,DF,1999,12.6,0,10,2,20.0,0.79,0.16,0.0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,ARG,DF,1999,14,1137,81,79.0,12.6,13,84,10,1,45,0,1.4,20,15,5,0.4,0.69,ARG,DF,1999,12.6,5,0,0,26,12,4,50,19,22,,,0,1800000.0
ARG-Primera División Argentina,2026,Arg Juniors,Leandro Lozano,URU,"DF,MF",27-180,1998,11,11,942,10.5,0,1,1,0,0,0,2,0,0.0,0.1,0.1,0.0,0.1,URU,"DF,MF",1998,10.5,0,9,2,22.2,0.86,0.19,0.0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,URU,"DF,MF",1998,11,942,86,65.4,10.5,11,86,9,0,,0,1.93,9,5,4,0.38,0.38,URU,"DF,MF",1998,10.5,2,0,0,4,17,2,50,16,19,,,0,4000000.0
ARG-Primera División Argentina,2026,Deportivo Riestra,Patricio Madero,,,27-184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ARG,MF,1998,0,,,,,0,,0,0,,4,,,,,,,,,,,,,,,,,,,,,,,
ARG-Primera División Argentina,2026,Atlé Tucumán,Nicolás Laméndola,ARG,"MF,FW",27-187,1998,15,13,1113,12.4,1,0,1,1,0,0,4,0,0.08,0.0,0.08,0.08,0.08,ARG,"MF,FW",1998,12.4,1,15,4,26.7,1.21,0.32,0.07,0.25,0,0,,,,,,,,,,,,,,,,,,,,,,,ARG,"MF,FW",1998,15,1113,74,77.3,12.4,13,82,2,2,25,1,0.93,11,13,-2,-0.16,0.66,ARG,"MF,FW",1998,12.4,4,0,0,17,23,3,72,7,19,,,0,800000.0
ARG-Primera División Argentina,2026,Barracas Central,Iván Tapia,ARG,MF,27-206,1998,16,16,1170,13.0,1,1,2,1,0,0,0,0,0.08,0.08,0.15,0.08,0.15,ARG,MF,1998,13.0,1,16,6,37.5,1.23,0.46,0.06,0.17,0,0,,,,,,,,,,,,,,,,,,,,,,,ARG,MF,1998,16,1170,73,81.3,13.0,16,73,4,0,,0,1.31,11,11,0,0.0,0.0,ARG,MF,1998,13.0,0,0,0,4,22,0,45,8,3,,,0,1200000.0
ARG-Primera División Argentina,2026,Aldosivi,Fernando Román,PAR,DF,27-209,1998,15,11,1030,11.4,0,1,1,0,0,0,3,0,0.0,0.09,0.09,0.0,0.09,PAR,DF,1998,11.4,0,3,0,0.0,0.26,0.0,0.0,,0,0,,,,,,,,,,,,,,,,,,,,,,,PAR,DF,1998,15,1030,69,71.5,11.4,11,85,9,4,24,0,0.53,4,11,-7,-0.61,0.71,PAR,DF,1998,11.4,3,0,0,15,9,0,43,18,21,,,0,
ARG-Primera División Argentina,2026,Estudiantes–RC,Tomás González,ARG,MF,27-228,1998,15,14,1134,12.6,0,0,0,0,0,0,6,0,0.0,0.0,0.0,0.0,0.0,ARG,MF,1998,12.6,0,14,1,7.1,1.11,0.08,0.0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,ARG,MF,1998,15,1134,76,78.8,12.6,14,79,9,1,30,0,0.33,4,16,-12,-0.95,1.11,ARG,MF,1998,12.6,6,0,0,29,20,4,18,9,20,,,0,150000.0
ARG-Primera División Argentina,2026,Defensa,Lucas Souto,ARG,"DF,MF",27-249,1998,15,15,1305,14.5,1,0,1,1,0,0,0,0,0.07,0.0,0.07,0.07,0.07,ARG,"DF,MF",1998,14.5,1,6,1,16.7,0.41,0.07,0.17,1.0,0,0,,,,,,,,,,,,,,,,,,,,,,,ARG,"DF,MF",1998,15,1305,87,90.6,14.5,15,87,14,0,,0,1.27,17,19,-2,-0.14,0.53,ARG,"DF,MF",1998,14.5,0,0,0,17,6,0,9,36,11,,,0,400000.0
ARG-Primera División Argentina,2026,Ind. Rivadavia,Nahuel Arena,,,27-258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ARG,DF,1998,0,,,,,0,,0,0,,9,,,,,,,,,,,,,,,,,,,,,,,300000.0
ARG-Primera División Argentina,2026,Estudiantes–RC,Martín Garnerone,ARG,"MF,FW",27-262,1998,16,13,967,10.7,1,0,1,1,0,0,2,0,0.09,0.0,0.09,0.09,0.09,ARG,"MF,FW",1998,10.7,1,18,4,22.2,1.68,0.37,0.06,0.25,0,0,,,,,,,,,,,,,,,,,,,,,,,ARG,"MF,FW",1998,16,967,60,67.2,10.7,13,67,1,3,31,0,0.31,3,15,-12,-1.12,0.22,ARG,"MF,FW",1998,10.7,2,0,0,11,12,3,43,5,8,,,0,
ARG-Primera División Argentina,2026,Barracas Central,Facundo Bruera,ARG,FW,27-267,1998,15,10,948,10.5,1,1,2,1,0,0,5,0,0.09,0.09,0.19,0.09,0.19,ARG,FW,1998,10.5,1,27,10,37.0,2.56,0.95,0.04,0.1,0,0,,,,,,,,,,,,,,,,,,,,,,,ARG,FW,1998,15,948,63,65.8,10.5,10,81,6,5,29,0,1.2,9,9,0,0.0,0.0,ARG,FW,1998,10.5,5,0,0,33,12,2,4,3,3,,,0,1800000.0
ARG-Primera División Argentina,2026,CA San Lorenzo,Jhohan Romaña,COL,DF,27-277,1998,14,14,1215,13.5,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,COL,DF,1998,13.5,0,5,0,0.0,0.37,0.0,0.0,,0,0,,,,,,,,,,,,,,,,,,,,,,,COL,DF,1998,14,1215,87,84.4,13.5,14,87,13,0,,0,1.47,13,13,0,0.0,0.0,COL,DF,1998,13.5,4,0,0,10,13,0,2,23,16,,,0,6000000.0
ARG-Primera División Argentina,2026,Gimnasia–M,Lautaro Petruchi,ARG,GK,27-289,1998,2,2,180,2.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,ARG,GK,1998,2.0,0,0,0,,0.0,0.0,,,0,0,ARG,GK,1998,2,2,180,2.0,2,1.0,8,6,75.0,0,2,0,0,0.0,0,0,0,0,,ARG,GK,1998,2,180,90,12.5,2.0,2,90,2,0,,14,1.0,2,2,0,0.0,0.57,ARG,GK,1998,2.0,1,0,0,0,1,0,0,0,0,,,0,
ARG-Primera División Argentina,2026,Ind. Rivadavia,Leonard Costa,URU,DF,27-293,1998,15,14,1064,11.8,1,1,2,1,0,0,1,0,0.08,0.08,0.17,0.08,0.17,URU,DF,1998,11.8,1,6,1,16.7,0.51,0.08,0.17,1.0,0,0,,,,,,,,,,,,,,,,,,,,,,,URU,DF,1998,15,1064,71,73.9,11.8,14,76,9,1,2,1,2.06,22,14,8,0.68,-0.76,URU,DF,1998,11.8,1,0,0,6,6,2,0,16,7,,,0,1000000.0
ARG-Primera División Argentina,2026,Estudiantes–RC,Tobías Ostchega,ARG,DF,27-296,1998,11,9,799,8.9,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,ARG,DF,1998,8.9,0,11,2,18.2,1.24,0.23,0.0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,ARG,DF,1998,11,799,73,55.5,8.9,9,85,8,2,17,2,0.45,3,14,-11,-1.24,-0.12,ARG,DF,1998,8.9,2,0,0,13,6,0,29,9,8,,,0,
ARG-Primera División Argentina,2026,C. Córdoba–SdE,Fernando Juárez,ARG,MF,27-298,1998,4,3,315,3.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,ARG,MF,1998,3.5,0,0,0,,0.0,0.0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,ARG,MF,1998,4,315,79,21.9,3.5,3,90,3,1,45,0,1.0,1,2,-1,-0.29,0.43,ARG,MF,1998,3.5,1,0,0,6,9,0,1,6,4,,,0,600000.0
ARG-Primera División Argentina,2026,Platense,Matías Borgogno,ARG,GK,27-300,1998,16,16,1440,16.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,ARG,GK,1998,16.0,0,0,0,,0.0,0.0,,,0,0,ARG,GK,1998,16,16,1440,16.0,15,0.94,64,50,78.1,3,7,6,6,37.5,1,1,0,0,0.0,ARG,GK,1998,16,1440,90,100.0,16.0,16,90,16,0,,0,1.0,10,15,-5,-0.31,,ARG,GK,1998,16.0,1,0,0,0,6,0,0,0,0,,,0,2800000.0
ARG-Primera División Argentina,2026,Independiente,Milton Valenzuela,ARG,DF,27-308,1998,6,3,303,3.4,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,ARG,DF,1998,3.4,0,4,1,25.0,1.19,0.3,0.0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,ARG,DF,1998,6,303,51,21.0,3.4,3,75,2,3,26,10,0.71,4,5,-1,-0.3,-0.69,ARG,DF,1998,3.4,2,0,0,7,2,1,5,3,3,,,0,550000.0
ARG-Primera División Argentina,2026,Aldosivi,Tomás Fernández,ARG,MF,27-313,1998,9,3,424,4.7,1,0,1,1,0,0,3,0,0.21,0.0,0.21,0.21,0.21,ARG,MF,1998,4.7,1,8,2,25.0,1.7,0.42,0.13,0.5,0,0,,,,,,,,,,,,,,,,,,,,,,,ARG,MF,1998,9,424,47,29.4,4.7,3,75,0,6,33,5,0.56,2,7,-5,-1.06,-0.35,ARG,MF,1998,4.7,3,0,0,14,3,0,23,3,11,,,0,25000.0
ARG-Primera División Argentina,2026,Sarmiento–J,Carlos Villalba,ARG,MF,27-333,1998,11,8,527,5.9,1,0,1,1,0,0,4,0,0.17,0.0,0.17,0.17,0.17,ARG,MF,1998,5.9,1,12,6,50.0,2.05,1.02,0.08,0.17,0,0,,,,,,,,,,,,,,,,,,,,,,,ARG,MF,1998,11,527,48,36.6,5.9,8,60,0,3,16,2,1.36,5,8,-3,-0.51,-0.12,ARG,MF,1998,5.9,4,0,0,12,5,1,6,12,3,,,0,450000.0
