league,season,team,player,standard_nation,standard_pos,age,standard_born,standard_Playing Time_MP,standard_Playing Time_Starts,standard_Playing Time_Min,standard_Playing Time_90s,standard_Performance_Gls,standard_Performance_Ast,standard_Performance_G+A,standard_Performance_G-PK,standard_Performance_PK,standard_Performance_PKatt,standard_Performance_CrdY,standard_Performance_CrdR,standard_Per 90 Minutes_Gls,standard_Per 90 Minutes_Ast,standard_Per 90 Minutes_G+A,standard_Per 90 Minutes_G-PK,standard_Per 90 Minutes_G+A-PK,shooting_nation,shooting_pos,shooting_born,shooting_90s,shooting_Standard_Gls,shooting_Standard_Sh,shooting_Standard_SoT,shooting_Standard_SoT%,shooting_Standard_Sh/90,shooting_Standard_SoT/90,shooting_Standard_G/Sh,shooting_Standard_G/SoT,shooting_Standard_PK,shooting_Standard_PKatt,keeper_nation,keeper_pos,keeper_born,keeper_Playing Time_MP,keeper_Playing Time_Starts,keeper_Playing Time_Min,keeper_Playing Time_90s,keeper_Performance_GA,keeper_Performance_GA90,keeper_Performance_SoTA,keeper_Performance_Saves,keeper_Performance_Save%,keeper_Performance_W,keeper_Performance_D,keeper_Performance_L,keeper_Performance_CS,keeper_Performance_CS%,keeper_Penalty Kicks_PKatt,keeper_Penalty Kicks_PKA,keeper_Penalty Kicks_PKsv,keeper_Penalty Kicks_PKm,keeper_Penalty Kicks_Save%,playing_time_nation,playing_time_pos,playing_time_born,playing_time_Playing Time_MP,playing_time_Playing Time_Min,playing_time_Playing Time_Mn/MP,playing_time_Playing Time_Min%,playing_time_Playing Time_90s,playing_time_Starts_Starts,playing_time_Starts_Mn/Start,playing_time_Starts_Compl,playing_time_Subs_Subs,playing_time_Subs_Mn/Sub,playing_time_Subs_unSub,playing_time_Team Success_PPM,playing_time_Team Success_onG,playing_time_Team Success_onGA,playing_time_Team Success_+/-,playing_time_Team Success_+/-90,playing_time_Team Success_On-Off,misc_nation,misc_pos,misc_born,misc_90s,misc_Performance_CrdY,misc_Performance_CrdR,misc_Performance_2CrdY,misc_Performance_Fls,misc_Performance_Fld,misc_Performance_Off,misc_Performance_Crs,misc_Performance_Int,misc_Performance_TklW,misc_Performance_PKwon,misc_Performance_PKcon,misc_Performance_OG,market_value_eur
ARG-Primera División Argentina,2026,River Plate,Juan Meza,ARG,MF,18-095,2008,4,1,138,1.5,0,2,2,0,0,0,2,0,0.0,1.3,1.3,0.0,1.3,ARG,MF,2008,1.5,0,5,1,20.0,3.26,0.65,0.0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,ARG,MF,2008,4,138,35,9.6,1.5,1,45,0,3,31,1,2.14,5,2,3,1.96,1.47,ARG,MF,2008,1.5,2,0,0,3,5,0,4,2,3,,,0,
ARG-Primera División Argentina,2026,Vélez Sarsfield,Ulises Piedrabuena,,,18-096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ARG,DF,2008,0,,,,,0,,0,0,,1,,,,,,,,,,,,,,,,,,,,,,,
ARG-Primera División Argentina,2026,Arg Juniors,Thiago Yánez,,,18-103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ARG,DF,2008,0,,,,,0,,0,0,,1,,,,,,,,,,,,,,,,,,,,,,,
ARG-Primera División Argentina,2026,Racing Club,Alejandro Tello,,,18-129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ARG,MF,2008,0,,,,,0,,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,
ARG-Primera División Argentina,2026,Vélez Sarsfield,Luca Feler,ARG,MF,18-142,2008,2,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,ARG,MF,2008,0.0,0,0,0,,0.0,0.0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,ARG,MF,2008,2,2,1,0.1,0.0,0,,0,2,1,8,1.0,0,0,0,0.0,-0.38,ARG,MF,2008,0.0,0,0,0,0,1,0,1,0,0,,,0,
ARG-Primera División Argentina,2026,Belgrano,Ramiro Tulián,ARG,MF,18-149,2008,3,0,41,0.5,1,0,1,1,0,0,0,0,2.2,0.0,2.2,2.2,2.2,ARG,MF,2008,0.5,1,3,2,66.7,6.59,4.39,0.33,0.5,0,0,,,,,,,,,,,,,,,,,,,,,,,ARG,MF,2008,3,41,14,2.8,0.5,0,,0,3,14,13,2.33,1,2,-1,-2.2,-2.52,ARG,MF,2008,0.5,0,0,0,1,0,0,1,0,3,,,0,50000.0
ARG-Primera División Argentina,2026,Talleres–C,Lautaro Ortiz,,,18-152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ARG,MF,2008,0,,,,,0,,0,0,,1,,,,,,,,,,,,,,,,,,,,,,,
ARG-Primera División Argentina,2026,Independiente,Tomás Parmo,,,18-160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ARG,MF,2008,0,,,,,0,,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,
ARG-Primera División Argentina,2026,Talleres–C,Lucio Ferrari,,,18-166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ARG,DF,2008,0,,,,,0,,0,0,,11,,,,,,,,,,,,,,,,,,,,,,,
ARG-Primera División Argentina,2026,Aldosivi,David Juárez,ARG,FW,18-205,2007,1,0,20,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,ARG,FW,2007,0.2,0,1,1,100.0,4.5,4.5,0.0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,ARG,FW,2007,1,20,20,1.4,0.2,0,,0,1,20,1,0.0,0,0,0,0.0,0.82,ARG,FW,2007,0.2,0,0,0,0,0,0,0,0,0,,,0,
ARG-Primera División Argentina,2026,Talleres–C,Ignacio Alastra,,,18-231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ARG,FW,2007,0,,,,,0,,0,0,,3,,,,,,,,,,,,,,,,,,,,,,,50000.0
ARG-Primera División Argentina,2026,Unión,Misael Aguirre,ARG,FW,18-231,2007,9,0,201,2.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,ARG,FW,2007,2.2,0,6,1,16.7,2.69,0.45,0.0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,ARG,FW,2007,9,201,22,14.0,2.2,0,,0,9,22,4,1.33,4,3,1,0.45,0.23,ARG,FW,2007,2.2,0,0,0,4,0,2,7,1,0,,,0,200000.0
ARG-Primera División Argentina,2026,Independiente,Simón Bodnar,,,18-299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HUN,FW,2007,0,,,,,0,,0,0,,3,,,,,,,,,,,,,,,,,,,,,,,
ARG-Primera División Argentina,2026,Rosario Central,Paolo Giaccone,,,18-314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ARG,MF,2007,0,,,,,0,,0,0,,3,,,,,,,,,,,,,,,,,,,,,,,
ARG-Primera División Argentina,2026,Instituto,Genaro Ordóñez,,,18-315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ARG,DF,2007,0,,,,,0,,0,0,,5,,,,,,,,,,,,,,,,,,,,,,,
ARG-Primera División Argentina,2026,Rosario Central,Lisandro Duarte,ARG,MF,18-331,2007,1,1,63,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,ARG,MF,2007,0.7,0,1,0,0.0,1.43,0.0,0.0,,0,0,,,,,,,,,,,,,,,,,,,,,,,ARG,MF,2007,1,63,63,4.4,0.7,1,63,0,0,,0,1.0,1,0,1,1.43,1.23,ARG,MF,2007,0.7,0,0,0,2,3,0,2,0,2,,,0,
ARG-Primera División Argentina,2026,Banfield,Lisandro Piñero,ARG,MF,18-337,2007,13,4,465,5.2,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,ARG,MF,2007,5.2,0,3,0,0.0,0.58,0.0,0.0,,0,0,,,,,,,,,,,,,,,,,,,,,,,ARG,MF,2007,13,465,36,32.3,5.2,4,62,0,9,24,1,1.08,10,8,2,0.39,0.76,ARG,MF,2007,5.2,2,0,0,5,18,2,11,2,6,,,0,400000.0
ARG-Primera División Argentina,2026,Rosario Central,Ignacio Ovando,ARG,DF,18-353,2007,13,13,1170,13.0,1,0,1,1,0,0,1,0,0.08,0.0,0.08,0.08,0.08,ARG,DF,2007,13.0,1,7,1,14.3,0.54,0.08,0.14,1.0,0,0,,,,,,,,,,,,,,,,,,,,,,,ARG,DF,2007,13,1170,90,81.3,13.0,13,90,13,0,,1,1.88,16,11,5,0.38,0.72,ARG,DF,2007,13.0,1,0,0,8,18,0,0,36,8,,,0,6000000.0
ARG-Primera División Argentina,2026,Defensa,Alan Coria,ARG,MF,18-364,2007,4,1,119,1.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,ARG,MF,2007,1.3,0,5,2,40.0,3.78,1.51,0.0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,ARG,MF,2007,4,119,30,8.3,1.3,1,70,0,3,16,2,0.75,2,5,-3,-2.27,-2.27,ARG,MF,2007,1.3,0,0,0,2,1,0,1,0,1,,,0,
ARG-Primera División Argentina,2026,Aldosivi,Ian Acosta,,,19-009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ARG,DF,2007,0,,,,,0,,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,
ARG-Primera División Argentina,2026,Arg Juniors,Facundo Carrizo,ARG,FW,19-017,2007,2,0,16,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,ARG,FW,2007,0.2,0,0,0,,0.0,0.0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,ARG,FW,2007,2,16,8,1.1,0.2,0,,0,2,8,3,0.5,0,0,0,0.0,-0.25,ARG,FW,2007,0.2,0,0,0,0,0,0,0,0,0,,,0,
ARG-Primera División Argentina,2026,Racing Club,Benjamín González,,,19-024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ARG,DF,2007,0,,,,,0,,0,0,,3,,,,,,,,,,,,,,,,,,,,,,,
ARG-Primera División Argentina,2026,Barracas Central,Valentino Gandín,,,19-026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ARG,FW,2007,0,,,,,0,,0,0,,5,,,,,,,,,,,,,,,,,,,,,,,
ARG-Primera División Argentina,2026,Estudiantes–LP,Thiago Gonzalez,,,19-032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ARG,MF,2007,0,,,,,0,,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,2300000.0
ARG-Primera División Argentina,2026,Boca Juniors,Tomás Aranda,ARG,"MF,FW",19-039,2007,13,6,648,7.2,1,2,3,1,0,0,2,0,0.14,0.28,0.42,0.14,0.42,ARG,"MF,FW",2007,7.2,1,18,4,22.2,2.5,0.56,0.06,0.25,0,0,,,,,,,,,,,,,,,,,,,,,,,ARG,"MF,FW",2007,13,648,50,45.0,7.2,6,85,3,7,20,2,1.64,12,2,10,1.39,1.05,ARG,"MF,FW",2007,7.2,2,0,0,6,15,0,8,4,7,,,0,9000000.0
ARG-Primera División Argentina,2026,Vélez Sarsfield,Matías Arias,ARG,MF,19-040,2007,5,1,137,1.5,0,1,1,0,0,0,1,0,0.0,0.66,0.66,0.0,0.66,ARG,MF,2007,1.5,0,3,1,33.3,1.97,0.66,0.0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,ARG,MF,2007,5,137,27,9.5,1.5,1,45,0,4,23,11,2.0,1,3,-2,-1.31,-1.87,ARG,MF,2007,1.5,1,0,0,3,3,0,4,0,2,,,0,50000.0
ARG-Primera División Argentina,2026,River Plate,Kendry Páez,ECU,"MF,FW",19-044,2007,8,3,317,3.5,1,0,1,1,0,0,1,0,0.28,0.0,0.28,0.28,0.28,ECU,"MF,FW",2007,3.5,1,7,3,42.9,1.99,0.85,0.14,0.33,0,0,,,,,,,,,,,,,,,,,,,,,,,ECU,"MF,FW",2007,8,317,40,22.0,3.5,3,63,0,5,26,4,1.3,5,2,3,0.85,0.29,ECU,"MF,FW",2007,3.5,1,0,0,2,2,0,12,3,1,,,0,8000000.0
ARG-Primera División Argentina,2026,CA San Lorenzo,Branco Salinardi,,,19-052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ARG,FW,2007,0,,,,,0,,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,300000.0
ARG-Primera División Argentina,2026,Rosario Central,Leonardo Sosa,,,19-060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PAR,GK,2007,0,,,,,0,,0,0,,1,,,,,,,,,,,,,,,,,,,,,,,
ARG-Primera División Argentina,2026,CA San Lorenzo,Nicolás Blanco,,,19-068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ARG,DF,2007,0,,,,,0,,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,2200000.0
ARG-Primera División Argentina,2026,Atlé Tucumán,Martín Ortega,,,19-079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ARG,FW,2007,0,,,,,0,,0,0,,3,,,,,,,,,,,,,,,,,,,,,,,1000000.0
